business	dictionary_code	item_code	item_short_name	item_full_name	analytical_attribute_code
FB	ACCOUNTS	20211	20211	Бухгалтерский счет 20211	account
FB	ACCOUNTS	40210	40210	Бухгалтерский счет 40210	account
FB	ACCOUNTS	50113	50113	Бухгалтерский счет 50113	account
FB	ACCOUNTS	50211	50211	Бухгалтерский счет 50211	account
FB	ACCOUNTS	50221	50221	Бухгалтерский счет 50221	account
FB	ACCOUNTS	50222	50222	Бухгалтерский счет 50222	account
FB	ACCOUNTS	50231	50231	Бухгалтерский счет 50231	account
FB	ACCOUNTS	50232	50232	Бухгалтерский счет 50232	account
FB	ACCOUNTS	АКР_1	АКР_1	Бухгалтерский счет АКР_1	account
FB	ACCOUNTS	БА_ГАБС_1	БА_ГАБС_1	Бухгалтерский счет БА_ГАБС_1	account
FB	ACCOUNTS	БА_ГАБС_2	БА_ГАБС_2	Бухгалтерский счет БА_ГАБС_2	account
FB	ACCOUNTS	БА_ГАБС_3	БА_ГАБС_3	Бухгалтерский счет БА_ГАБС_3	account
FB	ACCOUNTS	БА_ГРБС_1	БА_ГРБС_1	Бухгалтерский счет БА_ГРБС_1	account
FB	ACCOUNTS	БА_ГРБС_2	БА_ГРБС_2	Бухгалтерский счет БА_ГРБС_2	account
FB	ACCOUNTS	БА_ГРБС_3	БА_ГРБС_3	Бухгалтерский счет БА_ГРБС_3	account
FB	ACCOUNTS	БА_ГРБС_4	БА_ГРБС_4	Бухгалтерский счет БА_ГРБС_4	account
FB	ACCOUNTS	БА_КОНТР_1	БА_КОНТР_1	Бухгалтерский счет БА_КОНТР_1	account
FB	ACCOUNTS	БА_ЛБО_1	БА_ЛБО_1	Бухгалтерский счет БА_ЛБО_1	account
FB	ACCOUNTS	БА_ЛБО_2	БА_ЛБО_2	Бухгалтерский счет БА_ЛБО_2	account
FB	ACCOUNTS	БА_ЛБО_3	БА_ЛБО_3	Бухгалтерский счет БА_ЛБО_3	account
FB	ACCOUNTS	БА_ЛБО_4	БА_ЛБО_4	Бухгалтерский счет БА_ЛБО_4	account
FB	ACCOUNTS	БА_РБС_РЕЗ_1	БА_РБС_РЕЗ_1	Бухгалтерский счет БА_РБС_РЕЗ_1	account
FB	ACCOUNTS	БА_УТВ_БДЖ_1	БА_УТВ_БДЖ_1	Бухгалтерский счет БА_УТВ_БДЖ_1	account
FB	ACCOUNTS	БА_УТВ_БДЖ_2	БА_УТВ_БДЖ_2	Бухгалтерский счет БА_УТВ_БДЖ_2	account
FB	ACCOUNTS	БА_УТВ_БДЖ_3	БА_УТВ_БДЖ_3	Бухгалтерский счет БА_УТВ_БДЖ_3	account
FB	ACCOUNTS	БА_УТВ_БДЖ_4	БА_УТВ_БДЖ_4	Бухгалтерский счет БА_УТВ_БДЖ_4	account
FB	ACCOUNTS	БА_УТВ_ГРБС_1	БА_УТВ_ГРБС_1	Бухгалтерский счет БА_УТВ_ГРБС_1	account
FB	ACCOUNTS	БА_УТВ_ГРБС_2	БА_УТВ_ГРБС_2	Бухгалтерский счет БА_УТВ_ГРБС_2	account
FB	ACCOUNTS	БА_УТВ_ГРБС_3	БА_УТВ_ГРБС_3	Бухгалтерский счет БА_УТВ_ГРБС_3	account
FB	ACCOUNTS	БА_УТВ_ГРБС_4	БА_УТВ_ГРБС_4	Бухгалтерский счет БА_УТВ_ГРБС_4	account
FB	ACCOUNTS	БА_ФАИП_1	БА_ФАИП_1	Бухгалтерский счет БА_ФАИП_1	account
FB	ACCOUNTS	БА_ФАИП_2	БА_ФАИП_2	Бухгалтерский счет БА_ФАИП_2	account
FB	ACCOUNTS	БА_ФАИП_3	БА_ФАИП_3	Бухгалтерский счет БА_ФАИП_3	account
